nK = 53;
nI = 176;
nT = 5;
nF = 3;
nP = 7;
l = [1145, 1695, 1280, 340, 360, 2220, 1530, 1465, 1600, 470, 560, 1260, 1910, 1600, 660, 1360, 1150, 1300, 1380, 1320, 1390, 1325, 1580, 1675, 1750, 1260, 2080, 1300, 2030, 1640, 1600, 1280, 1674, 1790, 1460, 1600, 1290, 2050, 1015, 835, 550, 1240, 1400, 1390, 1310, 1320, 1120, 1050, 980, 960, 900, 880, 860, 800, 790, 780, 740, 700, 680, 600, 570, 560, 530, 500, 490, 460, 420, 410, 1260, 743, 710, 645, 610, 580, 1108, 1080, 800, 1250, 1300, 1400, 1080, 1300, 720, 640, 560, 480, 400, 320, 930, 880, 1290, 1090, 1380, 1185, 873, 1350, 1380, 1375, 1120, 1285, 1295, 1375, 1285, 1580, 720, 2190, 1830, 1885, 1860, 1285, 1900, 1600, 1390, 946, 760, 582, 960, 1540, 1320, 800, 1830, 1790, 1320, 1250, 2070, 1260, 1340, 2110, 2070, 1860, 2030, 2070, 1750, 1750, 1620, 1080, 330, 840, 1752, 1480, 1280, 880, 1880, 1960, 1260, 1230, 1260, 1560, 1300, 1410, 1320, 820, 1650, 1180, 1100, 1650, 1565, 1575, 1670, 1300, 1140, 1040, 840, 720, 600, 480, 360, 830, 750, 660, 570, 480, 390, 300, 1200, 1000];
eminI = [0, 0, 0, 0, 0, 5, 3, 0, 0, 6, 86, 11, 146, 0, 11, 108, 36, 67, 72, 54, 18, 8, 27, 14, 0, 0, 36, 22, 67, 0, 11, 8, 22, 2, 28, 0, 0, 0, 5, 36, 0, 450, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 11, 36, 36, 22, 18, 459, 2250, 0, 450, 315, 5, 2250, 315, 7, 3, 0, 0, 0, 0, 36, 27, 54, 72, 50, 36, 7, 48, 3, 900, 225, 1485, 522, 900, 1485, 93, 4, 27, 25, 81, 32, 234, 0, 11, 18, 3, 5, 5, 0, 3, 0, 0, 32, 0, 3, 5, 20, 7, 5, 39, 68, 0, 30, 0, 52, 0, 0, 2, 2, 0, 4, 180, 0, 5, 135, 0, 0, 0, 0, 50, 0, 32, 50, 3, 0, 0, 11, 0, 0, 81, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];
emaxI = [32, 32, 32, 32, 31, 40, 38, 31, 31, 41, 204, 47, 345, 31, 47, 336, 113, 209, 220, 165, 62, 44, 86, 49, 33, 33, 99, 62, 187, 32, 47, 44, 72, 36, 80, 31, 31, 330, 40, 99, 31, 1100, 121, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 61, 47, 99, 99, 72, 60, 1122, 5280, 31, 1100, 754, 40, 5280, 754, 42, 38, 31, 31, 31, 31, 99, 75, 149, 198, 139, 99, 43, 135, 38, 2420, 578, 3685, 1320, 2420, 3685, 220, 39, 75, 70, 193, 90, 550, 31, 47, 61, 38, 40, 40, 33, 38, 31, 31, 90, 330, 38, 40, 65, 42, 40, 109, 189, 330, 85, 330, 145, 330, 330, 36, 36, 330, 39, 440, 33, 40, 317, 330, 31, 32, 32, 139, 31, 90, 119, 38, 330, 32, 47, 330, 330, 193, 36, 31, 36, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31];
r0 = [0, 0, 0, 0, 0, 5, 3, 0, 0, 6, 86, 11, 146, 0, 11, 108, 36, 67, 72, 54, 18, 8, 27, 14, 0, 0, 36, 22, 67, 0, 11, 8, 22, 2, 28, 0, 0, 0, 5, 36, 0, 450, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 11, 36, 36, 22, 18, 459, 2250, 0, 450, 315, 5, 2250, 315, 7, 3, 0, 0, 0, 0, 36, 27, 54, 72, 50, 36, 7, 48, 3, 900, 225, 1485, 522, 900, 1485, 93, 4, 27, 25, 81, 32, 234, 0, 11, 18, 3, 5, 5, 0, 3, 0, 0, 32, 0, 3, 5, 20, 7, 5, 39, 68, 0, 30, 0, 52, 0, 0, 2, 2, 0, 4, 180, 0, 5, 135, 0, 0, 0, 0, 50, 0, 32, 50, 3, 0, 0, 11, 0, 0, 81, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];
pi_IT1 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];
lAux = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];
cI = [11, 17, 13, 3, 180, 22, 15, 733, 800, 5, 3, 6, 10, 800, 3, 7, 6, 7, 7, 7, 7, 7, 8, 8, 18, 13, 10, 7, 10, 16, 8, 6, 8, 18, 7, 800, 645, 10, 10, 4, 275, 6, 7, 695, 655, 660, 560, 525, 490, 480, 450, 440, 430, 400, 395, 390, 370, 350, 340, 300, 285, 280, 265, 250, 245, 230, 210, 205, 6, 4, 4, 3, 3, 3, 6, 5, 400, 6, 7, 7, 5, 7, 4, 6, 280, 240, 200, 160, 5, 4, 6, 5, 7, 6, 4, 7, 14, 7, 6, 6, 6, 7, 6, 8, 4, 11, 9, 9, 9, 6, 950, 8, 7, 9, 4, 3, 10, 15, 660, 400, 9, 9, 13, 13, 10, 6, 13, 11, 10, 9, 10, 10, 9, 9, 8, 11, 3, 4, 9, 7, 13, 9, 9, 10, 630, 12, 13, 8, 650, 7, 7, 8, 8, 12, 6, 8, 8, 8, 17, 650, 11, 520, 420, 360, 300, 240, 180, 415, 375, 330, 285, 240, 195, 150, 600, 500];
L = [5800, 6200, 6000, 4950, 5950, 6000, 6520, 5800, 6200, 6800, 5820, 6300, 6000, 5640, 6000, 6000, 6000, 6000, 6000, 6100, 6000, 6425, 6000, 7000, 6300, 7000, 6500, 6000, 1200, 7000, 6700, 6500, 6000, 7000, 6400, 5840, 6500, 5920, 6390, 5020, 5500, 6405, 6900, 6600, 6500, 6000, 6000, 7000, 4560, 4620, 6900, 6170, 5800];
aux = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];
eminP = [0, 32, 5, 11, 11, 20, 7];
emaxP = [30, 84, 39, 47, 47, 61, 44];
p0 = [0, 32, 5, 11, 11, 20, 7];
cP = [5621, 254, 17, 4136, 1994, 996, 982];
dr = [[0, 0, 0, 12, 0, 0], 
[0, 0, 20, 0, 0, 0], 
[0, 0, 13, 0, 0, 0], 
[0, 0, 0, 14, 0, 0], 
[0, 0, 0, 0, 0, 990], 
[0, 0, 0, 16, 0, 0], 
[0, 0, 0, 20, 0, 0], 
[0, 0, 5, 0, 0, 0], 
[0, 0, 5, 0, 0, 0], 
[0, 0, 0, 20, 0, 0], 
[0, 0, 0, 30, 0, 0], 
[0, 0, 0, 80, 0, 0], 
[0, 0, 0, 115, 0, 0], 
[0, 0, 10, 0, 0, 0], 
[0, 0, 0, 25, 0, 0], 
[0, 120, 0, 0, 0, 0], 
[0, 80, 0, 0, 0, 0], 
[0, 120, 0, 0, 0, 0], 
[0, 108, 0, 0, 0, 0], 
[0, 72, 0, 0, 0, 0], 
[0, 24, 0, 0, 0, 0], 
[0, 24, 0, 0, 0, 0], 
[0, 0, 76, 0, 0, 0], 
[0, 0, 39, 0, 0, 0], 
[0, 0, 12, 0, 0, 0], 
[0, 0, 12, 0, 0, 0], 
[0, 0, 0, 25, 0, 0], 
[0, 0, 0, 60, 0, 0], 
[0, 0, 0, 0, 80, 0], 
[0, 0, 0, 0, 12, 0], 
[0, 0, 0, 0, 42, 0], 
[0, 0, 0, 0, 25, 0], 
[0, 0, 0, 210, 0, 0], 
[0, 0, 0, 32, 0, 0], 
[0, 0, 0, 25, 0, 0], 
[0, 0, 5, 0, 0, 0], 
[0, 0, 0, 0, 12, 0], 
[0, 40, 0, 0, 0, 0], 
[0, 50, 0, 0, 0, 0], 
[0, 40, 0, 0, 0, 0], 
[0, 50, 0, 0, 0, 0], 
[0, 70, 0, 0, 0, 0], 
[0, 0, 12, 0, 0, 0], 
[0, 0, 50, 0, 0, 0], 
[0, 0, 60, 0, 0, 0], 
[0, 0, 30, 0, 0, 0], 
[0, 0, 30, 0, 0, 0], 
[0, 0, 84, 0, 0, 0], 
[0, 0, 20, 0, 0, 0], 
[0, 0, 12, 0, 0, 0], 
[0, 0, 20, 0, 0, 0], 
[0, 0, 46, 0, 0, 0], 
[0, 0, 22, 0, 0, 0], 
[0, 0, 10, 0, 0, 0], 
[0, 0, 40, 0, 0, 0], 
[0, 0, 5, 0, 0, 0], 
[0, 0, 8, 0, 0, 0], 
[0, 0, 8, 0, 0, 0], 
[0, 0, 60, 0, 0, 0], 
[0, 0, 15, 0, 0, 0], 
[0, 0, 58, 0, 0, 0], 
[0, 0, 10, 0, 0, 0], 
[0, 0, 14, 20, 0, 0], 
[0, 0, 0, 10, 0, 0], 
[0, 0, 0, 40, 0, 0], 
[0, 0, 0, 14, 0, 0], 
[0, 0, 0, 10, 0, 0], 
[0, 0, 0, 6, 0, 0], 
[0, 0, 0, 50, 0, 0], 
[0, 0, 0, 25, 0, 0], 
[0, 0, 0, 0, 25, 0], 
[0, 0, 0, 0, 20, 0], 
[0, 0, 0, 0, 30, 0], 
[0, 0, 0, 0, 25, 0], 
[0, 0, 0, 0, 110, 0], 
[0, 0, 0, 0, 325, 0], 
[0, 0, 0, 0, 180, 0], 
[0, 0, 0, 0, 320, 0], 
[0, 0, 0, 0, 280, 0], 
[0, 0, 0, 0, 150, 0], 
[0, 0, 0, 0, 475, 0], 
[0, 0, 0, 0, 0, 300], 
[0, 0, 0, 0, 0, 150], 
[0, 0, 0, 0, 0, 150], 
[0, 0, 0, 0, 0, 150], 
[0, 0, 0, 0, 0, 150], 
[0, 0, 0, 0, 0, 150], 
[0, 0, 0, 0, 0, 150], 
[0, 0, 0, 0, 0, 100], 
[0, 0, 0, 0, 0, 400], 
[0, 120, 0, 0, 0, 0], 
[0, 0, 45, 0, 0, 0], 
[0, 0, 0, 0, 40, 0], 
[0, 0, 0, 0, 50, 0], 
[0, 0, 0, 0, 20, 0], 
[0, 0, 0, 0, 35, 0], 
[0, 0, 0, 0, 190, 0], 
[0, 0, 0, 0, 87, 0], 
[0, 0, 0, 0, 450, 0], 
[0, 0, 0, 0, 175, 1200], 
[0, 0, 0, 0, 0, 300], 
[0, 426, 0, 0, 0, 0], 
[0, 426, 0, 0, 0, 0], 
[0, 0, 0, 50, 0, 0], 
[0, 0, 0, 20, 0, 0], 
[0, 0, 0, 0, 80, 0], 
[0, 0, 0, 0, 25, 0], 
[0, 0, 0, 0, 80, 0], 
[0, 0, 0, 0, 60, 0], 
[0, 80, 0, 0, 0, 0], 
[0, 0, 0, 10, 0, 0], 
[0, 0, 0, 0, 50, 0], 
[0, 0, 0, 0, 30, 0], 
[0, 0, 0, 0, 20, 0], 
[0, 0, 0, 0, 25, 0], 
[0, 0, 0, 0, 25, 0], 
[0, 0, 0, 0, 0, 4], 
[0, 30, 0, 0, 0, 0], 
[0, 0, 0, 5, 0, 0], 
[0, 0, 0, 6, 0, 0], 
[0, 0, 0, 30, 0, 0], 
[0, 0, 120, 0, 0, 0], 
[0, 0, 0, 0, 24, 0], 
[0, 0, 0, 0, 20, 0], 
[0, 0, 0, 0, 0, 35], 
[0, 0, 0, 0, 0, 70], 
[0, 0, 0, 0, 0, 20], 
[0, 0, 45, 0, 0, 0], 
[0, 0, 40, 0, 0, 0], 
[0, 0, 35, 0, 0, 0], 
[0, 0, 0, 0, 50, 0], 
[0, 0, 0, 0, 30, 0], 
[0, 0, 0, 0, 0, 40], 
[0, 0, 0, 40, 0, 0], 
[0, 0, 0, 35, 0, 0], 
[0, 0, 0, 0, 0, 12], 
[0, 0, 0, 0, 165, 0], 
[0, 0, 0, 20, 0, 0], 
[0, 0, 0, 0, 0, 25], 
[0, 0, 40, 0, 0, 0], 
[0, 0, 35, 0, 0, 0], 
[0, 0, 35, 0, 0, 0], 
[0, 0, 35, 0, 0, 0], 
[0, 0, 0, 0, 0, 35], 
[0, 0, 0, 10, 0, 0], 
[0, 0, 0, 5, 0, 0], 
[0, 10, 0, 0, 0, 0], 
[0, 0, 0, 25, 0, 0], 
[0, 0, 0, 10, 0, 0], 
[0, 0, 0, 45, 0, 0], 
[0, 0, 0, 35, 0, 0], 
[0, 0, 0, 25, 0, 0], 
[0, 40, 0, 0, 0, 0], 
[0, 0, 40, 0, 0, 0], 
[0, 0, 0, 30, 0, 0], 
[0, 0, 0, 35, 0, 0], 
[0, 0, 0, 65, 0, 0], 
[0, 0, 0, 35, 0, 0], 
[0, 0, 0, 20, 0, 0], 
[0, 0, 0, 10, 0, 0], 
[0, 0, 0, 35, 0, 0], 
[0, 0, 30, 0, 0, 0], 
[0, 0, 45, 0, 0, 0], 
[0, 0, 15, 0, 0, 0], 
[0, 0, 15, 0, 0, 0], 
[0, 0, 15, 0, 0, 0], 
[0, 0, 15, 0, 0, 0], 
[0, 0, 45, 0, 0, 0], 
[0, 0, 15, 0, 0, 0], 
[0, 0, 30, 0, 0, 0], 
[0, 0, 15, 0, 0, 0], 
[0, 0, 15, 0, 0, 0], 
[0, 0, 15, 0, 0, 0], 
[0, 0, 15, 0, 0, 0], 
[0, 0, 0, 20, 0, 0], 
[0, 0, 0, 56, 0, 0]];
