nK = 30;
nI = 70;
nT = 4;
nF = 3;
nP = 10;
l = [1751, 1792, 1601, 1570, 1911, 1858, 1922, 1946, 1802, 1980, 1509, 1679, 1860, 1730, 1866, 1813, 1936, 1626, 1724, 1594, 1595, 1698, 1887, 1994, 1895, 1871, 1584, 1747, 1941, 1931, 1816, 1590, 1728, 1838, 1725, 1523, 1593, 1723, 1889, 1555, 1841, 1863, 1504, 1783, 1754, 1788, 1840, 1908, 1894, 1819, 1659, 1504, 1971, 1549, 1670, 1706, 1527, 1678, 1993, 1596, 1509, 1613, 1940, 1880, 1577, 1647, 1501, 1534, 1837, 1937];
eminI = [45, 80, 45, 80, 80, 45, 45, 45, 80, 45, 20, 80, 0, 45, 0, 45, 45, 80, 0, 20, 45, 0, 0, 20, 20, 20, 80, 45, 20, 80, 45, 45, 20, 20, 80, 80, 20, 45, 45, 80, 45, 45, 45, 0, 20, 80, 20, 20, 80, 45, 20, 45, 80, 0, 45, 20, 45, 0, 80, 20, 45, 80, 20, 45, 20, 80, 80, 20, 80, 20];
emaxI = [90, 140, 90, 140, 140, 90, 90, 90, 140, 90, 55, 140, 30, 90, 30, 90, 90, 140, 30, 55, 90, 30, 30, 55, 55, 55, 140, 90, 55, 140, 90, 90, 55, 55, 140, 140, 55, 90, 90, 140, 90, 90, 90, 30, 55, 140, 55, 55, 140, 90, 55, 90, 140, 30, 90, 55, 90, 30, 140, 55, 90, 140, 55, 90, 55, 140, 140, 55, 140, 55];
r0 = [45, 80, 45, 80, 80, 45, 45, 45, 80, 45, 20, 80, 0, 45, 0, 45, 45, 80, 0, 20, 45, 0, 0, 20, 20, 20, 80, 45, 20, 80, 45, 45, 20, 20, 80, 80, 20, 45, 45, 80, 45, 45, 45, 0, 20, 80, 20, 20, 80, 45, 20, 45, 80, 0, 45, 20, 45, 0, 80, 20, 45, 80, 20, 45, 20, 80, 80, 20, 80, 20];
pi_IT1 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];
lAux = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];
cI = [391, 407, 372, 365, 444, 379, 445, 471, 400, 436, 322, 404, 387, 355, 385, 413, 448, 384, 397, 335, 385, 423, 435, 448, 459, 412, 334, 359, 408, 394, 373, 361, 352, 451, 367, 325, 320, 351, 437, 321, 376, 423, 351, 423, 382, 368, 409, 416, 384, 375, 408, 349, 407, 342, 394, 392, 341, 379, 467, 395, 316, 355, 417, 469, 389, 339, 327, 362, 410, 456];
L = [6535, 6464, 5956, 6122, 5288, 6654, 6481, 5835, 6356, 5504, 5297, 6136, 5893, 5214, 5299, 5334, 5823, 6216, 6123, 6528, 6720, 5828, 5813, 5934, 6383, 5889, 5280, 5595, 6311, 6598];
aux = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];
eminP = [8, 2, 8, 4, 0, 3, 0, 9, 5, 4];
emaxP = [18, 19, 17, 17, 18, 20, 17, 19, 18, 19];
p0 = [8, 2, 8, 4, 0, 3, 0, 9, 5, 4];
cP = [4234, 2978, 3378, 5513, 3557, 6709, 5379, 7775, 9033, 4533];
dr = [[0, 150, 0, 0, 0], 
[0, 0, 0, 295, 0], 
[0, 157, 0, 0, 0], 
[0, 214, 0, 0, 0], 
[0, 0, 0, 260, 0], 
[0, 0, 0, 167, 0], 
[0, 0, 0, 129, 0], 
[0, 185, 0, 0, 0], 
[0, 0, 0, 0, 206], 
[0, 170, 0, 0, 0], 
[0, 0, 0, 114, 0], 
[0, 296, 0, 0, 0], 
[0, 0, 0, 0, 14], 
[0, 0, 0, 171, 0], 
[0, 0, 0, 16, 0], 
[0, 0, 0, 0, 136], 
[0, 0, 135, 0, 0], 
[0, 0, 0, 0, 290], 
[0, 0, 0, 55, 0], 
[0, 0, 0, 0, 87], 
[0, 0, 0, 0, 179], 
[0, 0, 0, 20, 0], 
[0, 0, 0, 30, 0], 
[0, 0, 0, 83, 0], 
[0, 0, 0, 0, 76], 
[0, 100, 0, 0, 0], 
[0, 0, 0, 0, 281], 
[0, 168, 0, 0, 0], 
[0, 0, 78, 0, 0], 
[0, 0, 0, 0, 294], 
[0, 0, 0, 122, 0], 
[0, 0, 189, 0, 0], 
[0, 0, 77, 0, 0], 
[0, 0, 110, 0, 0], 
[0, 0, 0, 0, 250], 
[0, 0, 205, 0, 0], 
[0, 84, 0, 0, 0], 
[0, 174, 0, 0, 0], 
[0, 154, 0, 0, 0], 
[0, 230, 0, 0, 0], 
[0, 0, 166, 0, 0], 
[0, 181, 0, 0, 0], 
[0, 0, 194, 0, 0], 
[0, 60, 0, 0, 0], 
[0, 0, 0, 0, 62], 
[0, 229, 0, 0, 0], 
[0, 0, 0, 119, 0], 
[0, 0, 0, 99, 0], 
[0, 281, 0, 0, 0], 
[0, 0, 0, 153, 0], 
[0, 0, 114, 0, 0], 
[0, 0, 0, 0, 162], 
[0, 0, 0, 0, 206], 
[0, 0, 45, 0, 0], 
[0, 0, 131, 0, 0], 
[0, 119, 0, 0, 0], 
[0, 0, 0, 189, 0], 
[0, 0, 44, 0, 0], 
[0, 0, 296, 0, 0], 
[0, 0, 110, 0, 0], 
[0, 0, 0, 0, 160], 
[0, 0, 0, 0, 260], 
[0, 0, 0, 0, 118], 
[0, 189, 0, 0, 0], 
[0, 0, 91, 0, 0], 
[0, 0, 238, 0, 0], 
[0, 0, 0, 0, 206], 
[0, 0, 0, 81, 0], 
[0, 0, 0, 237, 0], 
[0, 0, 0, 76, 0]];
